trial_id,model_id,density,payload_id,payload_condition,defense_condition,status
T04848,M4,D3,PAYLOAD_000049,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00723,M1,D3,PAYLOAD_000124,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01535,M2,D1,PAYLOAD_000036,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03748,M3,D5,PAYLOAD_000151,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T04622,M4,D3,PAYLOAD_000123,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03872,M3,D5,PAYLOAD_000123,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03991,M3,D5,PAYLOAD_000092,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03306,M3,D3,PAYLOAD_000006,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T04264,M4,D1,PAYLOAD_000065,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01813,M2,D3,PAYLOAD_000014,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00911,M1,D5,PAYLOAD_000012,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T04895,M4,D3,PAYLOAD_000096,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T04749,M4,D3,PAYLOAD_000100,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01137,M1,D5,PAYLOAD_000088,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02905,M3,D1,PAYLOAD_000056,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01833,M2,D3,PAYLOAD_000034,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00407,M1,D1,PAYLOAD_000108,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03293,M3,D3,PAYLOAD_000144,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01040,M1,D5,PAYLOAD_000141,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T05029,M4,D5,PAYLOAD_000080,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03671,M3,D5,PAYLOAD_000072,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03061,M3,D1,PAYLOAD_000062,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T05293,M4,D5,PAYLOAD_000044,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T05247,M4,D5,PAYLOAD_000149,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01409,M2,D1,PAYLOAD_000060,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T04183,M4,D1,PAYLOAD_000134,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02590,M2,D5,PAYLOAD_000041,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01540,M2,D1,PAYLOAD_000041,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01385,M2,D1,PAYLOAD_000036,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01588,M2,D1,PAYLOAD_000089,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01952,M2,D3,PAYLOAD_000002,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T05358,M4,D5,PAYLOAD_000109,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00677,M1,D3,PAYLOAD_000078,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T04720,M4,D3,PAYLOAD_000071,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00758,M1,D3,PAYLOAD_000008,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00195,M1,D1,PAYLOAD_000046,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00031,M1,D1,PAYLOAD_000032,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T05201,M4,D5,PAYLOAD_000102,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T05342,M4,D5,PAYLOAD_000093,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01280,M1,D5,PAYLOAD_000081,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02597,M2,D5,PAYLOAD_000048,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01879,M2,D3,PAYLOAD_000080,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02624,M2,D5,PAYLOAD_000075,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03092,M3,D1,PAYLOAD_000093,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02969,M3,D1,PAYLOAD_000120,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03456,M3,D3,PAYLOAD_000006,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T03600,M3,D3,PAYLOAD_000157,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T04215,M4,D1,PAYLOAD_000016,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02274,M2,D5,PAYLOAD_000025,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01601,M2,D1,PAYLOAD_000102,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01665,M2,D1,PAYLOAD_000016,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02138,M2,D3,PAYLOAD_000039,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02582,M2,D5,PAYLOAD_000033,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T01275,M1,D5,PAYLOAD_000076,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00934,M1,D5,PAYLOAD_000035,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T00148,M1,D1,PAYLOAD_000151,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
T02156,M2,D3,PAYLOAD_000057,PHASE1_HASH_AUTHORIZED,BASELINE,PENDING
