trial_id,model_id,density,payload_id,payload_condition,defense_condition,status
T06944,M3,D5,PAYLOAD_000045,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06454,M2,D5,PAYLOAD_000004,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06727,M3,D3,PAYLOAD_000128,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06772,M3,D3,PAYLOAD_000023,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07739,M4,D5,PAYLOAD_000090,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06786,M3,D3,PAYLOAD_000037,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07752,M4,D5,PAYLOAD_000103,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T05660,M1,D3,PAYLOAD_000111,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06909,M3,D5,PAYLOAD_000009,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07073,M3,D5,PAYLOAD_000024,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06556,M2,D5,PAYLOAD_000107,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06289,M2,D3,PAYLOAD_000140,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07210,M4,D3,PAYLOAD_000011,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07004,M3,D5,PAYLOAD_000105,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T05458,M1,D3,PAYLOAD_000059,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07593,M4,D5,PAYLOAD_000094,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06035,M2,D3,PAYLOAD_000036,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07506,M4,D5,PAYLOAD_000006,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06760,M3,D3,PAYLOAD_000011,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07345,M4,D3,PAYLOAD_000146,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T05849,M1,D5,PAYLOAD_000153,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T06558,M2,D5,PAYLOAD_000109,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07060,M3,D5,PAYLOAD_000011,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T07270,M4,D3,PAYLOAD_000071,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
T05526,M1,D3,PAYLOAD_000127,PHASE1_HASH_AUTHORIZED,IHR_SPCE,PENDING
