trial_id,model_id,density,metadata_surface_condition,attack_family,defense_condition,payload_id,phase1_payload_hash,task_id,task_hash,payload_condition,status
T09699,M4,D3,CLEAN,NONE,BASELINE,,,d3_task_005,7c4f5d29a5b4596835c2938d8449525c45f2f1afa6ba5680ef2fc22f0e0cb2d0,NONE,PENDING
T08586,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_008,399ac56c2f5c91e4cfe58dfa226df1ff8da6fc1a44acd0d1a4198ad063eb56b7,NONE,PENDING
T09022,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_026,b0a7798fc737bc1a05a41914f36338cc89b74841e9cee1e3cefb4126f609ea94,NONE,PENDING
T07861,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_013,15b44f5ce476b20657000bbf64e438ac7e1615c605e60845c35ecb5b692afa84,NONE,PENDING
T09060,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_036,febf6a18f82d3c11aa9f3c6eef04a2754d20fac293ff70ddb8323ff6af963c6d,NONE,PENDING
T08520,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_002,20d5e01c65fb09db91cd3e467438075b70dc5248a9ea0e9eeb129f484439e888,NONE,PENDING
T08039,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_045,f26d26da7daaccc725197a1d7a38b904ca944e9cc27a84cebd614477b3efec3f,NONE,PENDING
T07917,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_013,15b44f5ce476b20657000bbf64e438ac7e1615c605e60845c35ecb5b692afa84,NONE,PENDING
T09765,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_039,e5771628ac4ec5bbd9a63b9ed734f49ee1bd25d40cbb772ea50b0aaecd25f0b8,NONE,PENDING
T09279,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_009,eb5b86567959453ebdb68e3c02143e5de8d0778a0e73c89b38fe31ecaf3e27d5,NONE,PENDING
T09293,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_009,eb5b86567959453ebdb68e3c02143e5de8d0778a0e73c89b38fe31ecaf3e27d5,NONE,PENDING
T09451,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_032,05a52906d7a837512b7344ae08f7ca7100a90e33bf3d43d70715aaa2f1440e2a,NONE,PENDING
T09409,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_035,553420efdd23f1ee46c7ec87098057590e92bba38f6867c6b0896be386eaa0dd,NONE,PENDING
T09469,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_026,9e612299b91d436620619535baa2805c0a237493473e19ecb0139c7816814ef8,NONE,PENDING
