row_id,cell_id,trial_index,phase,dry_run,official_trial,counts_for_phase5,publication_evidence,payload_reference_validated,model_slot,exact_model_identifier,density,metadata_surface_condition,attack_family,payload_id,payload_reference_key,payload_reference_hash,trial_phase,trial_defense_condition,notes
local-01,M1-D3-POISON_TD-DIRECT_OVERRIDE,1,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_TD,DIRECT_OVERRIDE,./phase2_5/inputs/payload_approved_set.json#01,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-02,M1-D3-POISON_TD-DIRECT_OVERRIDE,2,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_TD,DIRECT_OVERRIDE,./phase2_5/inputs/payload_approved_set.json#02,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-03,M1-D3-POISON_TD-DIRECT_OVERRIDE,3,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_TD,DIRECT_OVERRIDE,./phase2_5/inputs/payload_approved_set.json#03,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-04,M1-D3-POISON_TD-DIRECT_OVERRIDE,4,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_TD,DIRECT_OVERRIDE,./phase2_5/inputs/payload_approved_set.json#04,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-05,M1-D3-POISON_TD-DIRECT_OVERRIDE,5,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_TD,DIRECT_OVERRIDE,./phase2_5/inputs/payload_approved_set.json#05,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-06,M1-D3-POISON_TD-DIRECT_OVERRIDE,6,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_TD,DIRECT_OVERRIDE,./phase2_5/inputs/payload_approved_set.json#06,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-07,M1-D3-POISON_CA-CROSS_CAPABILITY_ESCALATION,1,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_CA,CROSS_CAPABILITY_ESCALATION,./phase2_5/inputs/payload_approved_set.json#07,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-08,M1-D3-POISON_CA-CROSS_CAPABILITY_ESCALATION,2,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_CA,CROSS_CAPABILITY_ESCALATION,./phase2_5/inputs/payload_approved_set.json#08,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-09,M1-D3-POISON_CA-CROSS_CAPABILITY_ESCALATION,3,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_CA,CROSS_CAPABILITY_ESCALATION,./phase2_5/inputs/payload_approved_set.json#09,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
local-10,M1-D3-POISON_CA-CROSS_CAPABILITY_ESCALATION,4,phase4_5,true,false,false,false,true,M1,Qwen/Qwen2.5-7B-Instruct,D3,POISON_CA,CROSS_CAPABILITY_ESCALATION,./phase2_5/inputs/payload_approved_set.json#10,./phase2_5/inputs/payload_approved_set.json,b913d5ae30d568588539ee592a978420358a31f42263b8d7571e31ef0e7ab4c6,phase5_adversarial_core,BASELINE,Phase 4.5 local dry-run planning row; no official Phase 5 credit.
