task_id,task_hash
d1_task_016,0271af701b2223c159723455504469d26fcb3b0c8d98ba9135583092b1aa422d
d5_task_004,73aea2a0d9f87a1eff8888b92d2ffc083ef61114021090722a998cf4359d50d5
d5_task_035,436ef8b8e2b7b9a2eaece2fc71352693ae5471bd86c07429c9a4bc71bdac89c8
d1_task_026,e0d976527658593850804b3c9dc6e681f850c75a520a0b5f8e0b0a0a15d7c371
d3_task_028,90db0ee1e7e1f7892e8daf83a6f12bafc1990953db3d28419e108281f1e0d8da
d3_task_019,3074382fc5aa31cf0b65d7dd1fc2ae14b108858caa1c5bcee04db5993cd22815
d5_task_046,d3f0b9145e879d2d4c319fa6cea9a10bd61074aa50fdc3b0933baee6b7221885
d5_task_018,188f2f00d64e3f5c719d070f44d2e332434c43d84e15ac7175ba2f9fd0bfe861
d3_task_018,ac5e6f91f754b519f603d7af0817abf1c6c8f92d8b770da6ff3cac97309c1cc5
d5_task_005,5d32e6eb543e86705a2b588991cb728447dd8ad421927a00e20901636c4e9464
d1_task_032,a56d73b2692323db3e2b889120833456685cb6a726c760f7639f27ec01c03811
d3_task_045,7ecf9696bc0240667033131720ac642ff661f97c8e20dd9762186212b453a33b
d1_task_008,7346878817c475d61249351c257ed3322b0fcff22b806c38805e50b14f4c4191
d5_task_012,9166dab7c4dbb83acc12f044a71c655f991f4753e22ebaf55bc8c1532d9f5d0d
d3_task_044,59577721fa0a8f6454e88a414cab8f60beaaaffdcbf5bf1b1210e2bac3b5356c
d1_task_004,1e8a7d9debf5e38112c2b26e24cb2b9b3a7f6e5b73bfc24b2d5f12a2c273e034
d3_task_049,47e93baa7ab1b22343a2cc940a2a8283995042345de70035be3d616fc8a7b4df
d3_task_042,c88338e60e0e464f265d3659a9ae7c768957e2b92c4a0a0cff5cb9aad23bba9b
d5_task_040,13c57d91074aa7202179d03034b692e6faf9c99b8b8b31bb651c3aae023bb4e4
d5_task_008,10f615f7f424bf610bba1e0712bfe884488522bf3c67667cfa2c70e54e38a315
d5_task_017,5ba6b0a447237375814acd741833c359917cba2b3836cf06ad0dd3cf82467822
d5_task_023,382a85582dcc3d67ce9e2e67d62b53b124902dd1082fb2b9afc1280a62c8589b
d5_task_001,736002e4492f3ddcf63bfa2d06b22f6c543bf975e6a1c432d664357bc3f23a9c
d1_task_027,68591355aa7bf5e8388492eccc8d8bd2e2b2d4b4fa1a8171f255fb281d6a75c6
d5_task_011,c3a4e2b31326a981ef9b86a4143d09e36ad6589c9e9138d8c3dc71f8b1a5698b
d1_task_022,9e4832a6ea421daeef1426400bdab409ca2589f041f36d703a827dd1e35a1b9a
d1_task_047,a8eb162066d08f7988a293786fc09bb22797da2f86b01599f6325c4137ceebd1
d1_task_042,9707dd2d96c5a8caa159268d5132f70281706870e68b3a05fcedfeff59cf9ad7
d5_task_042,9a62571d2d8598562fb165248445a28404818624eaa97542b5a4d3fd556db7bb
d5_task_026,a3c51f9bfa2e1a64a48ef67ae5ffd10f3b8979e2da817bc12d8e1217cb235e63
d3_task_015,a326df227649edea4d2c6e8f85144c4bb3bd65fbc5fa9ad6c9b158ff5ad89ef5
d3_task_024,2488733d960cf5b8c8dc475d8d264b291f6096043314e83a515431dcd5c2c42e
d5_task_037,70edf6aa2ce02fb9e2fdd668320dfb147e9bc874272524f454b75e49f522a014
d1_task_048,93d804a4e4a8f2c3a8a24fdaf98227dea4261da22f86c017c558cafa4a9271a1
d1_task_009,46b6f6426f75bcf716b2a0cd315eabf6ee2575aa0b1df6727ea6c9a211684f60
d3_task_017,d22733636a3705ac01a00e099cba9915332f645b2a3360610fe6281e13caf2e4
d5_task_002,a6832a6e577ff8358de9751f7cd439966e47a821fd61057fb61f5b71837b82f3
d3_task_023,10647476a499f9c3f5f9551d1769b00539e31e92e0bfebac14defbd31ea7f04d
d1_task_002,cd883c29e85864d2db0c88a008c9f790837e8d44b1457c827ba97b784ccc3770
d3_task_030,883e56257c767ce2b27ca9f4c960e6409f28e0f8403f827e3c7208f290e54360
d5_task_036,56cef9650bc50f1648f102d39c4bcf1330598ca67a18daeb04077903f847b711
d3_task_036,25d149d3819fa0cdfdb772eab74ab6b53530e924362a82363b9d9bebec295fb0
d3_task_006,2c2bf35609b6e6a3b6a7d175e058ca3e4a67e683f5b2d99f5793b69fda4c3573
d5_task_049,948f7fab5ea3752f0d4a247351dbfe30de6063068fdac280551e6f5809c6c1fe
d3_task_035,cd400c41517c6e69b4a3cf5009829a224ca9b4479f6e560640e64c3dbe712c3d
d1_task_019,eca7ed78b9b6dac8bcab6fd17c5e46e7492d8ce01aa7a840018fdbd6a50ed545
d5_task_047,0c768168dcdcf9c96226cf2950148d4bf5ca855b9a27ac3d233905a1e17de140
d3_task_000,d9bae633459acf121a7144d668e4dabde08808b6b5c59899ba46c8a5f1307f62
d1_task_013,3b920ded507f4a95700d0af776b561b09f0b0b9c37c0cddbf3d157d25aae5226
d3_task_033,0171bb05b9730976312927f7198d61daa8beed4059b05bcf38bbf8901a8ce116
d5_task_032,070801f1b7380f9ddee9d821f39a7f78062f54be703f1a0b628eeea34a92034f
